id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam
2417441503.0,16.0,0.0,47.0,296.0,63.105000000000004,60.99600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Zone', 'Angle', 'PassEndX', 'StandingSave']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,283978.0,84.73500000000001,52.564,,,,,,,,,,2.0,Matheus Reis,True,Portimonense,Sporting
,,0.0,47.0,,84.73500000000001,52.564,,,Carry,,,,,344378.0,92.925,57.188,,,,,,,,,,28.0,Pote,False,Portimonense,Sporting
2417441509.0,17.0,0.0,49.0,296.0,92.925,57.188,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['StandingSave', 'Zone']","[91, 69]",True,344378.0,,,,,,,,,,,,28.0,Pote,,Portimonense,Sporting
2417441553.0,9.0,0.0,51.0,1463.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",ShieldBallOpp,Successful,['Zone'],[],False,360107.0,,,,,,,,,,,,,,,Portimonense,Sporting
2417441845.0,11.0,1.0,13.0,1463.0,4.515,32.708000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Longball', 'Angle', 'MissHigh', 'GoalKick', 'PassEndY', 'PassEndX', 'Chipped', 'Length', 'Zone']","[91, 120, 124, 128, 36, 38, 216, 218]",True,310029.0,62.265,17.476,,,,,,,,,,,,True,Portimonense,Sporting
2417441917.0,19.0,1.0,17.0,296.0,43.050000000000004,56.984,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'HeadPass', 'PassEndX', 'Angle', 'PassEndY', 'Length']","[91, 119, 117, 30, 139, 36, 37, 216, 218]",True,283978.0,62.370000000000005,66.912,,,,,,,,,,2.0,Matheus Reis,False,Portimonense,Sporting
2417441921.0,20.0,1.0,19.0,296.0,62.370000000000005,66.912,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['StandingSave', 'Zone']","[91, 69]",True,344378.0,,,,,,,,,,,,28.0,Pote,,Portimonense,Sporting
2417442079.0,13.0,1.0,30.0,1463.0,27.090000000000003,0.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'PassEndX', 'PassEndY', 'ThrowIn', 'Zone']","[91, 212, 35, 37, 215]",True,308886.0,15.33,9.248000000000001,,,,,,,,,,,,False,Portimonense,Sporting
2417442123.0,14.0,1.0,32.0,1463.0,15.015,9.520000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'Length', 'Zone', 'StandingSave', 'PassEndY']","[91, 117, 30, 35, 37, 215, 218]",True,360107.0,5.775,30.668000000000003,,,,,,,,,,,,False,Portimonense,Sporting
2417442163.0,15.0,1.0,36.0,1463.0,7.245000000000001,32.572,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Angle', 'Longball', 'Zone', 'Chipped', 'Length', 'StandingSave']","[91, 117, 124, 127, 36, 37, 216, 218]",True,310029.0,38.745,64.87200000000001,,,,,,,,,,,,False,Portimonense,Sporting
