id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,cardType,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,shirtNo,name,progressive,homeTeam,awayTeam
2374330853.0,19.0,0.0,45.0,296.0,31.5,61.404,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndX', 'PassEndY', 'Length']","[91, 117, 30, 36, 38, 216, 218]",True,296364.0,42.525,51.884,,,,,,,,,,11.0,Nuno Santos,False,Vizela,Sporting
,,0.0,45.0,,42.525,51.884,,,Carry,,,,,344378.0,44.415,43.928,,,,,,,,,,28.0,Pote,False,Vizela,Sporting
2374330861.0,20.0,0.0,49.0,296.0,44.415,43.928,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Zone', 'Chipped', 'PassEndY', 'Length', 'Angle']","[91, 120, 29, 124, 36, 38, 216, 218]",True,344378.0,64.47,26.656000000000002,,,,,,,,,,28.0,Pote,True,Vizela,Sporting
2374330869.0,3.0,0.0,51.0,2899.0,36.225,36.856,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['HeadPass', 'PassEndY', 'PassEndX', 'Zone', 'Angle', 'Length']","[91, 117, 30, 139, 36, 37, 216, 218]",True,124107.0,47.98500000000001,38.148,,,,,,,,,,,,False,Vizela,Sporting
2374330877.0,4.0,0.0,52.0,2899.0,47.04,37.672000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,421844.0,,,,,,,,,,,,,,,Vizela,Sporting
2374330879.0,5.0,0.0,53.0,2899.0,46.935,37.536,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Angle', 'Zone', 'PassEndX']","[91, 117, 30, 35, 37, 215, 218]",True,421844.0,33.705000000000005,38.352000000000004,,,,,,,,,,,,False,Vizela,Sporting
2374330925.0,6.0,0.0,55.0,2899.0,33.705000000000005,38.352000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'PassEndX', 'Length', 'Angle', 'Longball', 'Zone']","[91, 120, 128, 36, 37, 217, 218]",True,129360.0,82.425,60.248,,,,,,,,,,,,True,Vizela,Sporting
2374330891.0,21.0,0.0,59.0,296.0,26.880000000000003,7.956,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,395992.0,,,,,,,,,,,,25.0,Gonçalo Inácio,,Vizela,Sporting
2374330929.0,22.0,1.0,2.0,296.0,27.825000000000003,11.832,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Angle', 'Length', 'PassEndX']","[91, 117, 30, 36, 37, 215, 218]",True,395992.0,31.395,30.328000000000003,,,,,,,,,,25.0,Gonçalo Inácio,False,Vizela,Sporting
,,1.0,2.0,,31.395,30.328000000000003,,,Carry,,,,,71268.0,31.185000000000002,32.368,,,,,,,,,,4.0,Sebastián Coates,False,Vizela,Sporting
