id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,firstName,lastName,name,homeTeam,awayTeam,round
2420300075,AttemptSaved,158085,793033,Joao Basso,92.4000015258789,37.744,53,,True,True,94.4824561388,37.672,35.220000000000006,1.2199999940000001,0.025578945875167847,,Header,FromCorner,SecondHalf,False,"{'x': 0.6772486772486757, 'y': 0.32275132116402117, 'zoomRatio': 1}",Joao,Basso,Arouca,Arouca,Belenenses SAD,34
2420302275,AttemptSaved,9807,933778,Rafael Camacho,95.2543889082786,21.8272611502,63,,False,True,103.4827586208,31.78875,36.66875,0.4879999976,0.08536070585250854,0.3887,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.29398148148148073, 'y': 0.12910052846560846, 'zoomRatio': 1}",Rafael,Camacho,Belenenses SAD,Arouca,Belenenses SAD,34
2420302623,Miss,9807,172875,Abel Issa Camara,96.0263143160607,40.97380824153511,63,,False,False,,,38.368333335,5.9142069072,0.058254748582839966,,Header,RegularPlay,SecondHalf,False,"{'x': 0.4997726627879018, 'y': 0.6772486772486772, 'zoomRatio': 0.4328560092957581}",Abel Issa,Camara,Belenenses SAD,Arouca,Belenenses SAD,34
2420303507,Miss,9807,172875,Abel Issa Camara,91.4000015258789,35.601248836517335,66,,False,False,,,39.797142858,6.7571034616,0.01613655686378479,,Header,RegularPlay,SecondHalf,False,"{'x': 0.4189659290088089, 'y': 0.6772486772486772, 'zoomRatio': 0.3788605597869332}",Abel Issa,Camara,Belenenses SAD,Arouca,Belenenses SAD,34
2420307633,AttemptSaved,158085,919919,Andre,74.0383495168,21.406878717128215,72,,True,True,87.31911764680001,25.7071875,32.474999999999994,1.2199999940000001,0.0265062153339386,,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 1.4034391534391548, 'y': 0.32275132116402117, 'zoomRatio': 1}",,Andre,Arouca,Arouca,Belenenses SAD,34
2420307933,AttemptSaved,9807,933778,Rafael Camacho,84.06165220406557,52.198215490512865,72,,False,True,103.6724137932,34.305,36.745000000000005,0.28252631440000003,0.037066370248794556,0.1686,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.2738095238095226, 'y': 0.07474241121693122, 'zoomRatio': 1}",Rafael,Camacho,Belenenses SAD,Arouca,Belenenses SAD,34
2420309911,AttemptSaved,158085,1206580,Bruno Marques,93.5999984741211,30.72125058174133,75,,True,True,96.9912280694,31.4075,32.9325,1.2199999940000001,0.0765233039855957,,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 1.282407407407408, 'y': 0.32275132116402117, 'zoomRatio': 1}",Bruno,Marques,Arouca,Arouca,Belenenses SAD,34
2420312163,AttemptSaved,158085,1206580,Bruno Marques,89.69999694824219,41.65687411785126,79,,True,True,93.0,40.30142857199999,35.60125,1.2199999940000001,0.0769435465335846,,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.5763888888888888, 'y': 0.32275132116402117, 'zoomRatio': 1}",Bruno,Marques,Arouca,Arouca,Belenenses SAD,34
2420312213,AttemptSaved,158085,263707,Alan Ruiz,84.7373786408,50.30649788258714,79,,False,True,103.6724137932,35.3725,30.645,0.2439999988,0.033825457096099854,0.5765,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 1.8875661375661386, 'y': 0.06455026423280423, 'zoomRatio': 1}",Alan,Ruiz,Arouca,Arouca,Belenenses SAD,34
2420312291,Miss,158085,115512,David Simao,79.21893032153443,30.95,79,,False,False,,,33.695,5.0626206976,0.031548261642456055,,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 1.0408011697693982, 'y': 0.6772486772486772, 'zoomRatio': 0.5056669564863117}",David,Simao,Arouca,Arouca,Belenenses SAD,34
