id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam
2375682647.0,7.0,1.0,11.0,108.0,4.620000000000001,31.144000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'Angle', 'Length', 'PassEndX', 'GoalKick', 'PassEndY', 'Longball', 'MissHigh']","[91, 120, 128, 36, 37, 216, 218]",True,408374.0,65.73,43.52,,,,,,,,,,,,True,Moreirense,Santa Clara
2375682685.0,24.0,1.0,15.0,251.0,38.85,18.632,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'Length', 'HeadPass', 'PassEndY', 'PassEndX', 'Angle']","[91, 120, 29, 139, 36, 37, 216, 218]",True,422199.0,66.675,19.992,,,,,,,,,,4.0,Kennedy Boateng,True,Moreirense,Santa Clara
2375682879.0,8.0,1.0,17.0,108.0,39.375,48.348,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsidePass,Successful,"['PlayerCaughtOffside', 'PassEndX', 'Zone', 'HeadPass', 'PassEndY']","[91, 217]",True,342769.0,70.455,41.072,,,,,,,,,,,,,Moreirense,Santa Clara
2375683031.0,25.0,1.0,17.0,251.0,37.800000000000004,27.472,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideProvoked,Successful,[],[62],False,318502.0,,,,,,,,,,,,3.0,Mikel Villanueva,,Moreirense,Santa Clara
2375683683.0,26.0,1.0,44.0,251.0,41.685,22.304,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Longball', 'IndirectFreekickTaken', 'PassEndY', 'PassEndX', 'FreekickTaken', 'Zone', 'Angle', 'StandingSave', 'Length']","[91, 119, 117, 127, 132, 36, 37, 216, 218]",True,101748.0,55.545,51.272000000000006,,,,,,,,,,8.0,Anderson Carvalho,False,Moreirense,Santa Clara
,,1.0,44.0,,55.545,51.272000000000006,,,Carry,,,,,409279.0,55.545,53.108,,,,,,,,,,25.0,Hidemasa Morita,False,Moreirense,Santa Clara
2375683741.0,27.0,1.0,48.0,251.0,55.545,53.108,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndY', 'PassEndX', 'Angle', 'Zone']","[91, 119, 117, 30, 36, 37, 216, 218]",True,409279.0,65.10000000000001,60.044000000000004,,,,,,,,,,25.0,Hidemasa Morita,False,Moreirense,Santa Clara
2375683805.0,28.0,1.0,50.0,251.0,65.10000000000001,60.044000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'StandingSave', 'PassEndY', 'Angle', 'Zone']","[91, 119, 117, 30, 35, 37, 216, 218]",True,279478.0,59.22,66.504,,,,,,,,,,10.0,Lincoln,False,Moreirense,Santa Clara
2375683841.0,29.0,1.0,51.0,251.0,59.22,66.504,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'PassEndY', 'Angle', 'PassEndX', 'Zone', 'StandingSave']","[91, 120, 29, 36, 38, 216, 218]",True,422200.0,64.155,63.85200000000001,,,,,,,,,,98.0,Ricardinho,False,Moreirense,Santa Clara
2375683837.0,9.0,1.0,51.0,108.0,41.37,3.128,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['Zone', 'StandingSave']",[91],True,421984.0,,,,,,,,,,,,,,,Moreirense,Santa Clara
