shirtNo,team,minutes,prog_passes,prog_carries,defensive_actions,suc_take_ons,total_passes,suc_passes,take_ons,xt,final_third_entries,final_third_passes,penalty_box_entries,penalty_box_passes,key_passes,Goals,Assists,Shots,xG,xGOT,xA,ChancesCreated,name,playerId,fotmob_name,fotmob_player_id
4.0,Estoril,8.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.02797818,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lucas Áfrico,361912.0,Lucas Africo,953960.0
4.0,Famalicao,450.0,13.0,8.0,45.0,3.0,234.0,195.0,3.0,0.20725168,1.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.17,0.0,0.02,1.0,Enea Mihaj,363299.0,Enea Mihaj,784876.0
4.0,Gil-Vicente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Manuel Lopes,1079294.0
4.0,Maritimo,373.0,6.0,10.0,53.0,1.0,182.0,150.0,3.0,0.1156830399999997,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.14,0.01,2.0,Matheus Costa,422005.0,Matheus Costa,816256.0
4.0,Pacos-de-Ferreira,180.0,6.0,8.0,19.0,0.0,99.0,86.0,0.0,0.1551306599999999,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.35,0.0,0.01,0.0,Pedro Ganchas,433139.0,Pedro Ganchas,1185327.0
4.0,Portimonense,360.0,37.0,12.0,62.0,3.0,251.0,191.0,5.0,0.5492803599999997,3.0,21.0,0.0,2.0,1.0,0.0,0.0,0.0,0.08,0.24,0.15,1.0,Willyan,380545.0, Willyan,866406.0
4.0,Porto,270.0,18.0,8.0,23.0,0.0,202.0,175.0,0.0,0.4375279500000001,0.0,18.0,0.0,1.0,0.0,0.0,0.0,2.0,0.26,0.07,0.04,0.0,David Carmo,374812.0,David Carmo,954962.0
4.0,Rio-Ave,54.0,1.0,0.0,5.0,0.0,15.0,11.0,0.0,0.0259603899999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Patrick William,356232.0, Patrick,934713.0
4.0,Santa-Clara,630.0,22.0,6.0,75.0,1.0,321.0,259.0,1.0,0.1642240799999999,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.63,0.14,0.04,0.0,Kennedy Boateng,422199.0,Kennedy Boateng,793670.0
4.0,Sporting,610.0,38.0,15.0,74.0,1.0,424.0,377.0,3.0,0.7687501399999999,0.0,34.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3,0.03,0.34,1.0,Sebastián Coates,71268.0,Sebastián Coates,165526.0
4.0,Vizela,225.0,2.0,0.0,28.0,1.0,61.0,40.0,1.0,0.0565725699999999,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.38,0.2,0.01,1.0,Ivanildo Fernandes,362492.0,Ivanildo Fernandes,668699.0
5.0,Arouca,344.0,29.0,10.0,35.0,3.0,189.0,157.0,5.0,0.4292064699999998,3.0,16.0,0.0,3.0,1.0,0.0,0.0,1.0,0.03,0.0,0.1199999999999999,2.0,David Simão,36712.0,David Simao,115512.0
5.0,Benfica,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,-0.00260739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jan Vertonghen,21778.0,Jan Vertonghen,37762.0
5.0,Casa-Pia,630.0,33.0,29.0,89.0,7.0,328.0,253.0,16.0,1.01977607,15.0,21.0,2.0,4.0,0.0,0.0,1.0,3.0,1.1,1.0,0.51,2.0,Leonardo Lelo,444766.0,Leonardo Lelo,1281236.0
5.0,Chaves,630.0,58.0,32.0,96.0,12.0,359.0,244.0,22.0,0.97677357,12.0,25.0,0.0,9.0,1.0,0.0,0.0,1.0,0.07,0.0,0.38,5.0,Bruno Langa,390741.0,Bruno Langa,1125477.0
5.0,Estoril,9.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.00206304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Volnei Feltes,429092.0, Volnei,1184041.0
5.0,Famalicao,585.0,44.0,15.0,100.0,1.0,333.0,241.0,4.0,1.58279147,12.0,28.0,0.0,10.0,3.0,0.0,0.0,1.0,0.03,0.2,0.77,7.0,Rúben Lima,136435.0,Ruben Lima,164472.0
5.0,Gil-Vicente,45.0,1.0,0.0,3.0,1.0,20.0,9.0,1.0,0.0304057199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Emmanuel Hackman,298403.0,Emmanuel Hackman,687289.0
